기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용,유동비율,당좌비율,부채비율,차입금의존도,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)골프존,215000,2018,254057808,59138246,194919561,198705194,121124256,28160266,20419449,145265354,54339957,134766937,10498417,20008011,4279575,18333320,833330,0,83642928,0,0,267.326958,248.0070733,30.33982105,19166650,60.95676392,14.17188219,10.27625327,8.037323931,10.6267876,10.38528689,0.782719576,-0.704625265,-33.01570731,14.3906452,0.151693429,34481459,-53326757,-28387248,우량기업
(주)골프존,215000,2019,312587283,112544404,200042879,247018099,153158534,32297494,16213888,81730468,61066134,70850292,10880176,17763826,3056162,833330,0,0,115927449,0,0,133.8392701,116.0222326,56.26014011,833330,62.00296036,13.07495043,6.563846158,5.186995403,8.210344255,13.0794856,0.871861781,19.55844742,12.80974926,27.84890143,18.72420223,38567865,-48182499,-34659378,우량기업
(주)골프존,215000,2020,367293667,141722975,225570692,298524085,186648157,51572914,37497361,118056616,80881889,107607388,10449228,17215817,4088758,0,0,0,117374150,0,0,145.9617443,133.0426247,62.82862979,0,62.52365098,17.27596418,12.56091648,10.20909544,17.62037846,17.06844664,0.878165758,17.25354455,37.37508414,1.232555039,14.89445338,84563964,-52159518,-24499223,우량기업
(주)골프존,215000,2021,483601164,191699131,291902034,440308104,285335871,107671751,76442443,242397391,130166449,217235439,25161952,23970339,7528105,0,0,0,114291869,0,0,186.2210983,166.8905011,65.67242043,0,64.8036837,24.45372911,17.36112561,15.80691874,29.54453024,21.38136436,1.034929554,32.20109231,52.10172258,-2.696850639,24.05029302,125602419,-80053203,-28426816,우량기업
(주)골프존뉴딘홀딩스,121440,2017,756500949,255588307,500912642,213756902,100778123,18422625,-21585123,117348020,120725767,77002226,40345794,6687798,7509517,86932857,121107143,0,394254656,0,0,97.2021325,63.78275981,51.02452715,208040000,47.14613753,8.618493638,-10.09797709,-2.853284325,-5.445187546,13.94454608,0.344740808,-105.9854442,-484.4539038,71.01064825,36.07395144,-1147880,21294649,-2702827,정리기업
(주)골프존뉴딘홀딩스,121440,2018,774743339,288773468,485969871,223036801,93834334,1114231,-7527390,99968915,209277715,48580424,51388491,12689009,13914428,177783524,45693452,0,380012689,0,0,47.76854287,23.21337654,59.42209286,223476976,42.0712338,0.499572714,-3.374954253,-0.971597898,-1.525488577,23.02100661,0.291314459,4.160703058,-1553.393686,-3.747760907,2.354636572,-4416464,-22304789,4997173,스타트업
(주)골프존뉴딘홀딩스,121440,2019,776384700,329187192,447197508,228935651,88325725,-3625436,-34848135,125716505,85327312,77326036,48390470,11370127,11564312,44591854,186266105,0,360513819,0,0,147.3344256,90.62284301,73.61114186,230857959,38.58102686,-1.583604818,-15.22180353,-4.488513877,-7.468785511,19.03107834,0.295186013,2.576641067,130.7337104,-5.408633171,0.211410786,2640435,3095111,-885975,성숙기업
(주)골프존뉴딘홀딩스,121440,2020,795768970,326287578,469481392,292025578,116157836,29999994,28481672,156960728,83530767,110310824,46649904,9891851,14915673,12024000,189345365,0,75949563,0,0,187.907682,132.0601115,69.49957625,201369365,39.77659656,10.27307067,9.753142925,3.579138302,6.214100052,27.46927666,0.371497499,21.60424694,112.0847891,-374.6753039,2.435916796,5223949,3173544,-8081166,성숙기업
(주)골프존뉴딘홀딩스,121440,2021,939417561,338057964,601359598,417687053,175689605,73192953,135856901,126109076,206206721,73108115,53000962,15730881,10161277,42024000,67890408,0,77491927,0,0,61.15662738,35.45379833,56.21560962,109914408,42.06249721,17.5233952,32.52600243,14.46182258,25.37387012,32.6028507,0.481431876,30.08507783,59.01245575,1.990354428,15.2912397,6789765,-2516781,-5011417,우량기업
(주)공구우먼,366030,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,판단불가
(주)광림,14200,2017,208058303,100367615,107690687,135191558,4031184,-12369550,-23602051,78175789,73471288,56414663,21761125,22490849,18870922,46280279,562200,20000000,58197036,0,0,106.403183,76.78463865,93.19990223,46842488.61,2.981831158,-9.149646755,-17.45822842,-11.34396016,-20.21843859,6.598840699,0.566968534,,,,,1251490,-1944893,-1338761,우량기업
(주)광림,14200,2018,187812629,97737400,90075229,136595300,14059037,-1044494,-28445678,75325405,89327971,50085385,25240021,34113986,21849846,40784486,1900000,0,59154003,0,0,84.32454488,56.06909509,108.506413,42684486,10.29247492,-0.764663206,-20.82478533,-15.14577489,,,,1.027664934,-1084.262428,1.617755268,-10.77971918,639491,-37280398,44087905,성장기업
(주)광림,14200,2019,252468254,161696117,90772137,145864184,10899581,-10983157,-14006972,114526470,148515736,86790771,27735699,26246160,16949822,36955189,6239252,0,60314708,0,0,77.11403053,58.43877109,178.1340865,43194441,7.472417629,-7.529714765,-9.602749363,-5.548013177,-15.49037988,4.833128932,0.662596036,6.354461901,90.49003852,1.924414523,25.60940791,18881193,15498030,-24143306,성숙기업
(주)광림,14200,2020,212123388,130510084,81613304,161220310,24105820,8844914,-23823893,94879910,122451120,72552490,22327420,19666450,18671862,30717738,2411005,0,63699119,0,0,77.48390541,59.25016447,159.9127564,33128743,14.95209878,5.486228131,-14.77722813,-11.23114864,-27.64026111,7.022920718,0.694030178,9.524932684,224.1748309,5.313120579,-19.01952745,5421907,-10092975,13972898,성장기업
(주)광림,14200,2021,268834328,143054454,125779874,188434984,29534212,11277961,-23012093,132828205,136473571,101343065,31485140,18483487,18283691,25661207,879845,0,53524396,0,0,97.32888502,74.2583815,113.7339778,26541052,15.67342294,5.985067507,-12.21221904,-8.559953326,-22.19175502,9.878652434,0.783582331,14.44247423,21.57346527,-19.0095055,21.09512592,8658598,-12037167,-4919376,우량기업
(주)광무,29480,2017,28950503,15398329,13552175,21540953,4037770,199525,-3352682,14949942,13555844,14761275,188668,5897853,3938636,845932,0,0,7752645,0,,110.2841107,108.8923346,113.6225661,845932,18.744621,0.926258926,-15.56422318,-11.58073834,-10.39391158,3.5729112,0.323936675,-774.7755218,-5552.404962,-590.4017403,-828.599852,-889612,-1332045,1642228,스타트업
(주)광무,29480,2018,28431748,17702532,10729216,23074941,5305107,-1335245,-5120760,17301470,14986294,16729998,571473,6812775,4677581,4570000,0,1070000,8423811,0,0,115.4486226,111.6353249,164.9937144,4570003.763,22.99077168,-5.786558674,-22.19186606,-18.01071112,-8.648478626,1.574886506,0.195145131,6.647852317,114.9429505,7.96748645,-1.824562457,-2567529,-18999421,35185574,스타트업
(주)광무,29480,2019,63139837,40295715,22844122,36483979,14613203,-3012624,-6421201,39307761,36140360,38802055,505706,6986082,4822290,5798283,0,0,3934491,0,0,108.7641656,107.3648824,176.3942383,5798283,40.05375346,-8.257388812,-17.60005673,-10.16980928,-38.25178777,5.28797117,0.796840614,36.75322256,55.67833888,-114.1016716,54.97019101,-1654541,4203856,-9578044,정리기업
