기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용
마이크로로봇(주),182690,2018,16569955,9524881,7045074,7255141,-2655545,-4971473,-4863406,5042993,9069392,3967606,1075389,2676834,130668,5500000,0,0,5121722,0
마이크로로봇(주),182690,2017,14201398,3757828,10443570,8057153,-1757678,-5169106,-6275790,5721553,3045226,4522088,1199465,3265786,200945,2000000,0,0,5935167,0
마이크로로봇(주),182690,2020,57289640,26754073,30535568,11737554,3073692,230484,-2043229,7274498,8055060,7143284,131215,6651032,1260665,5060036,0,31000000,3640324,0
매일유업(주),267980,2017,590951466,303462181,287489284,881178353,278863201,51150807,34745674,331155800,232971071,229055887,102099913,161805600,90724395,0,3189955,49910507,219884012,0
매일유업(주),267980,2019,678655992,268100747,410555245,1391694716,408743711,89532960,68450624,391133751,211204922,274957209,116176543,154591566,73514273,0,0,30000000,228811261,0
매일유업(주),267980,2021,991548197,480501461,511046737,1543572645,456239615,93903412,80332653,610997327,192510430,437809545,173187782,141527057,93619776,0,0,270000000,230042169,0
매일유업(주),267980,2018,616805801,267062626,349743175,1300078234,367151795,77243702,61145133,348333645,182365025,237068706,111264940,150883165,70696268,0,6613590,60000000,226665841,0
매일유업(주),267980,2020,752136068,303827611,448308457,1460441790,427702518,88355741,58954128,444448529,214610500,299446112,145002417,163993143,80203313,0,0,70000000,249749330,0
매일홀딩스(주),5990,2018,347662416,9498324,338164091,10812463,10812463,1162182,3520890,14084365,6044800,14084364,0,1008113,0,0,0,0,355730,0
매일홀딩스(주),5990,2021,356110943,10104759,346006185,13722414,13722414,905244,22813445,31619267,7861405,31619268,0,870180,0,0,0,0,3125501,0
매일홀딩스(주),5990,2020,356624083,30812509,325811574,13990396,13990396,3215009,-11984756,27509173,27114898,27509173,0,916876,0,0,0,0,185110,0
매일홀딩스(주),5990,2019,365558877,23684835,341874042,12854674,12854674,2063750,6698749,42620157,19539847,42620156,0,1037415,0,0,0,0,254048,0
매일홀딩스(주),5990,2017,345050518,7908021,337142497,6906877,6906877,-1607440,184515994,11661179,6389595,11661179,0,1022655,0,0,0,0,128442,0
메가스터디(주),72870,2021,273489219,26411041,247078178,50273647,17804557,7875824,16284043,96555802,18093019,95503283,1052520,8200620,2234137,0,0,0,6430587,0
메가스터디(주),72870,2020,265657853,27827299,237830554,40055983,11199694,2217581,18686947,102739159,14103430,100842436,1896723,9560676,1640963,0,0,0,6886972,0
메가스터디(주),72870,2019,241942720,19202850,222739870,30030176,11135354,873790,5536195,70082843,15102978,67869176,2213667,13143788,2091057,0,0,0,2388872,0
메가스터디(주),72870,2017,228578480,17949875,210628604,27930404,5548706,-5433154,-885500,63542532,12723630,58908739,4633793,10743393,2738699,0,0,0,8015873,0
메가스터디(주),72870,2018,241583105,19359710,222223395,31025052,11118592,2675887,14534682,82398050,14257955,79472847,2925204,11573191,1942608,0,0,0,2985085,0
메가스터디교육(주),215200,2017,264199888,87724662,176475227,218280260,123589148,10614453,7358158,57159527,77761330,55666540,1492986,10647728,5138380,0,0,0,120795700,0
메가스터디교육(주),215200,2019,393440649,155707828,237732821,381573797,211247547,53341761,43354738,81075745,130432892,74863673,6212073,20996377,11024995,0,0,0,172285072,0
메가스터디교육(주),215200,2021,648751667,325431015,323320653,622543381,330162943,93603324,80017607,233298795,284278917,220456945,12841849,40810458,34344428,0,0,0,175188028,0
메가스터디교육(주),215200,2020,493166111,240919891,252246220,411985818,216837521,31277231,23039163,107352459,195837102,98070878,9281581,30876262,21085623,0,0,0,167452523,0
메가스터디교육(주),215200,2018,344042969,136087718,207955250,309143489,168750927,46566050,40052298,74177531,117623727,71355008,2822523,13922667,9981174,0,0,0,154477531,0
메가엠디(주),133750,2020,115214543,46289639,68924904,76247593,48500258,10971600,6256950,47223074,39236905,46432345,790730,2760812,2087044,0,0,0,3279781,0
메가엠디(주),133750,2019,110000322,46947788,63052534,72011100,43920078,4975979,1873450,35955820,42249067,35203943,751877,2524010,1961048,0,0,0,3587263,0
메가엠디(주),133750,2021,118905436,42204551,76700885,71840964,45664399,10510315,9764656,64684968,38126851,64562793,122175,2023225,1939667,0,0,0,3481475,0
메가엠디(주),133750,2018,96107954,33272495,62835459,68491327,43297483,5582178,4762758,36197466,31647604,35279579,917887,2894553,1627686,0,0,0,8976082,0
메가엠디(주),133750,2017,90508183,31367873,59140310,63163701,37520351,-1233474,-2244041,34695253,31107908,33559978,1135275,3100458,1117366,0,0,0,9836881,0
메디앙스(주),14100,2021,128133364,45984945,82148420,67433775,33844569,3229586,3624756,27113902,28551340,15909732,11204170,16815818,4461116,5561317,2137500,0,36515452,0
메디앙스(주),14100,2019,131045453,56192406,74853047,91461744,41239611,-2083460,37942919,31844081,22190605,18552808,13291273,14254977,4359352,1288485,21012500,0,43878170,0
메디앙스(주),14100,2018,105933876,69252740,36681136,103209553,54086160,1532458,1424342,58911850,45437311,38376051,20535799,18896717,5945099,16175692,16937500,0,28107773,0
메디앙스(주),14100,2017,86697910,51119550,35578360,114389397,59929160,3557958,1560525,45794674,38476131,25866888,19927787,17991209,8794404,15507098,6125000,0,22173094,0
메디앙스(주),14100,2020,127268607,49016788,78251819,66656033,31440125,-1824342,2991125,25754939,18489765,14506717,11248222,13071789,3790075,6268161,16412500,0,37656472,0
메디포스트(주),78160,2021,249036896,91662346,157374549,54914968,31921443,-3653533,1005667,72536923,41275433,62677475,9859448,14087214,1220006,9994920,0,0,108143575,0
메디포스트(주),78160,2018,173885776,48837757,125048018,44383628,28364938,-5988989,-2018130,56667660,21291882,49212401,7455260,7424082,785765,0,0,0,70088852,0
메디포스트(주),78160,2017,146918730,40072873,106845856,42249905,25196054,-2381294,-1319216,45333539,5173058,37823804,7509734,6408574,1749437,0,15594920,0,42552267,0
메디포스트(주),78160,2019,212985364,101588083,111397280,45803342,29019177,-7510479,-13875892,90588725,39033297,83025890,7562835,11370248,1313104,9994920,0,40000000,72329427,0
메디포스트(주),78160,2020,219275862,102733686,116542176,48626807,30892024,-2192778,-1328868,87199486,63154130,77774420,9425067,15195527,1571089,9994920,0,0,85020031,0
메이슨캐피탈(주),21880,2018,,,,,,,,,,,,,,,,,,
메이슨캐피탈(주),21880,2017,,,,,,,,,,,,,,,,,,
메이슨캐피탈(주),21880,2019,,,,,,,,,,,,,,,,,,
메이슨캐피탈(주),21880,2020,,,,,,,,,,,,,,,,,,
메이슨캐피탈(주),21880,2021,,,,,,,,,,,,,,,,,,
명성티엔에스(주),257370,2021,50267153,29697730,20569424,11554371,1564102,-7423410,-7085915,22828684,25648213,7677623,15151061,1566348,1336683,13450000,1270069,2600000,22151960,0
명성티엔에스(주),257370,2020,59778222,32211506,27566716,17465053,-1298237,-9500726,-9899767,31328253,28339450,18824515,12503738,10408712,2050595,19400000,0,5200000,23068312,0
명성티엔에스(주),257370,2018,65273860,27701926,37571933,39416468,6908608,2302193,1588251,36180514,15508830,12385689,23794825,3018921,4168960,1650000,10500000,0,23135217,0
명성티엔에스(주),257370,2019,66098282,27986655,38111627,35162801,6924264,933566,546735,37948428,25723733,22459312,15489116,13788349,2299086,4450000,500000,0,22863318,0
모바일어플라이언스(주),87260,2017,53462805,26927130,26535675,48272893,8644227,2010347,1422656,35555796,9649467,31745000,3810795,24583297,3517052,2470000,3150000,15000000,6207673,0
모바일어플라이언스(주),87260,2018,58015659,25395613,32620046,54201526,11256742,3231064,3130543,37965536,21620625,33585080,4380456,21981880,3265975,2470000,2700000,0,5962654,0
모바일어플라이언스(주),87260,2019,51561822,22018151,29543671,41971601,12299676,-1185076,-2618146,32728193,20681496,26745025,5983168,26366264,2751311,4500000,0,0,5371150,0
모바일어플라이언스(주),87260,2021,81121053,36781853,44339201,47022556,12085659,2730431,2100017,58443514,35882660,53609212,4834303,20238539,4956486,1200000,0,0,4522601,0
모바일어플라이언스(주),87260,2020,75811176,33558185,42252990,39231177,11937720,2376948,2235660,55488849,7321134,50517445,4971404,21954128,2787444,1200000,0,25000000,4874226,0
모트렉스(주),118990,2021,277720636,141918799,135801837,289768526,53199726,18068600,22264012,117936230,115762566,71666902,46269327,66021000,36110701,39461109,1626000,22300000,51312082,0
모트렉스(주),118990,2019,221967775,127584543,94383232,153246542,10050359,-12146810,-35576943,91986398,109460742,62030464,29955934,59500868,24093587,39405500,10828345,0,42690463,0
모트렉스(주),118990,2017,182561103,48258899,134302204,209489966,50957345,25113091,19260246,123017235,43413632,97036879,25980356,49062752,15013393,9921800,1475520,0,17294059,0
모트렉스(주),118990,2020,235505833,132863955,102641877,235113950,25865023,3919858,-21426939,99988205,108469096,63769284,36218921,68597764,35458740,40217574,4000000,12300000,48706881,0
모트렉스(주),118990,2018,213097838,82923509,130174329,161689686,23845219,2549631,4795726,80665202,59901648,52453092,28212110,53085184,11823972,32451100,3500260,15800000,29369264,0
무림에스피(주),1810,2021,274119947,89665425,184454522,131306816,15166026,5669621,4939663,95260694,59278257,62589774,32670920,20203819,7285417,26477790,5000000,0,51537067,0
무림에스피(주),1810,2020,262652436,83716990,178935446,124593866,17027738,6366916,5418392,82991540,36439200,59230523,23761017,20924240,4300548,18093560,21250000,0,52282667,0
무림에스피(주),1810,2019,260739484,86286868,174452616,135558122,11735107,650488,2819600,81180056,44743032,51760713,29419343,21748383,4587675,26791081,15000000,0,51167291,0
무림에스피(주),1810,2018,261903541,89294789,172608752,136849737,10931636,1337595,-156000,80787138,53278597,44186459,36600679,21147427,6952721,34288915,10000000,0,53262674,0
무림에스피(주),1810,2017,257121910,83031076,174090834,131709509,15157656,5829504,4697608,74284274,47608750,46631768,27652506,23187243,6883980,24714748,5030000,5000000,54468668,0
미디어젠(주),279600,2019,30458965,12411661,18047304,13908713,10864163,-454067,-549926,17301373,3950452,17301373,0,2062126,915385,800000,6301500,0,10572100,0
미디어젠(주),279600,2021,32135986,14406247,17729739,14995449,4733084,-68284,159829,15350593,3200852,15346292,4300,1765977,553500,0,8019400,0,14577866,0
미디어젠(주),279600,2020,31750278,14381951,17368328,11880240,11828240,-212500,-357659,16054221,3252751,16054222,0,2534783,669745,600000,8619400,0,14840030,0
미래나노텍(주),95500,2019,278582759,117267161,161315598,188761971,26820588,210360,-1032390,102437209,98398539,78606192,23831017,32025706,11774273,56500000,16000000,0,60409118,0
