기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
KBI메탈,2018,1.4599E+11,55384719161,2.01374E+11,1.03205E+11,15547336405,1.18753E+11,15620748000,12216480642,82621480675,4.63758E+11,5287904106,4400083350,41.02881931,0.354715126,0.957331844,0.290287747,0.021850277,0.07943467
KBI메탈,2019,1.60577E+11,58835708049,2.19413E+11,1.0633E+11,19775585934,1.26106E+11,16475424000,18643020419,93306973333,4.94786E+11,10322200694,6810933679,42.5257609,0.487715434,0.06270935,0.353967671,0.031041639,0.077428449
KBI메탈,2020,1.64251E+11,50575257555,2.14827E+11,1.02402E+11,16477178718,1.18879E+11,16475424000,21381702787,95947830738,4.92213E+11,10775538179,2360290911,44.66293394,0.042070983,-0.005226611,-1.885633143,0.010986962,0.024942996
KB오토시스,2018,69132367363,76432212932,1.45565E+11,41318148896,9530362397,50848511293,5750000000,83990926233,94716069002,1.51864E+11,14567948071,12750201516,65.06807412,0.260325605,-2.241150983,0.81488207,0.087591373,0.133745313
KB오토시스,2019,67759769919,76092184108,1.43852E+11,32777999362,8586291830,41364291192,5750000000,91615300910,1.02488E+11,1.47792E+11,12683252886,10692459090,71.24523509,-0.148597146,-0.027553487,-0.192448006,0.074329606,0.108440738
KB오토시스,2020,80739380935,70470541310,1.5121E+11,43799522397,4821635290,48621157687,5750000000,92317845111,1.02589E+11,1.31874E+11,6145335761,3317800278,67.84525978,-1.063882818,-0.120706866,-2.222755499,0.021941684,0.03235672
KCC건설,2018,7.18353E+11,2.50805E+11,9.69158E+11,5.0807E+11,1.0747E+11,6.1554E+11,1.07E+11,2.16576E+11,3.53618E+11,1.06363E+12,47771723334,24144268990,36.48713049,0.871360392,0.876015262,0.862584356,0.024912629,0.105847949
KCC건설,2019,8.05934E+11,2.33261E+11,1.03919E+12,4.96974E+11,1.64685E+11,6.61659E+11,1.07E+11,2.40919E+11,3.77536E+11,1.64252E+12,58800589918,28228638237,36.32963739,0.187563876,0.352440231,0.144688852,0.027163951,0.077216711
KCC건설,2020,6.04579E+11,3.72957E+11,9.77535E+11,4.00886E+11,1.76104E+11,5.7699E+11,1.07E+11,2.726E+11,4.00545E+11,1.10161E+12,54302650524,37641374138,40.97499211,-0.082830936,-0.491010303,0.250063557,0.038506401,0.096754408
KCI,2018,35299510210,30443538782,65743048992,7220513208,3000000000,10220513208,5635000000,47985158713,55522535784,60587708198,11320089961,8875571446,84.4538497,-3.797015811,-17.18211618,-3.241008522,0.135003952,0.038922172
KCI,2019,42315219768,35971686719,78286906487,13167553106,31388347,13198941453,5635000000,57522710219,65087965034,69641355070,14495579101,11414878602,83.14029504,0.219066042,0.130003887,0.222455906,0.145808273,0.189284988
KCI,2020,42420315703,42101519185,84521834888,8832450163,1112018614,9944468777,5635000000,66490438393,74577366111,73251256889,14091715015,10615160457,88.23443813,-0.028659683,0.04928109,-0.075337358,0.125590748,0.152008525
KD,2018,78208661793,70262185157,1.48471E+11,91063558214,34497174093,1.25561E+11,38773426200,-34845709419,22910114643,41425211029,-9636961892,-17026824667,15.43071594,2.462257003,-0.768277217,1.623437468,-0.114681266,-0.349313051
KD,2019,38249138698,1.00023E+11,1.38272E+11,57284216815,48242044340,1.05526E+11,39176652006,-25278310121,32746043781,84340033510,5348973307,9251211968,23.68228677,2.801647034,0.508830987,2.840496653,0.066905748,0.332441628
KD,2020,55410084554,92971120348,1.48381E+11,44195012321,75371789990,1.19567E+11,8262680000,-30714568068,28814402591,21430920484,-8229915505,-5679930896,19.41917281,1.649942676,-2.935436818,2.628754317,-0.038279315,-0.184531829
KG ETS,2018,45916413222,1.80109E+11,2.26025E+11,57485886838,18408108460,75893995298,20051860000,87692275446,1.50131E+11,1.2374E+11,13642629867,11266355305,66.42230926,1.603249929,0.826806531,1.504149811,0.049845603,0.125919427
KG ETS,2019,51820668985,3.81389E+11,4.33209E+11,89936663971,1.0088E+11,1.90816E+11,20051860000,1.79479E+11,2.42393E+11,1.60879E+11,15879854136,97780141929,55.95285496,0.140884434,0.230853152,0.884778698,0.225711049,0.498212202
KG ETS,2020,6.938E+11,1.86457E+12,2.55837E+12,5.55791E+11,9.52445E+11,1.50824E+12,20051860000,2.05284E+11,1.05014E+12,1.53867E+11,19057664833,26670326348,41.0470056,0.166747119,-0.045573967,-2.666252173,0.010424726,0.041268468
KG모빌리언스,2018,3.31885E+11,1.44289E+11,4.76174E+11,1.83109E+11,66953457810,2.50062E+11,14953478500,1.00534E+11,2.26112E+11,2.02942E+11,22099959556,12119265851,47.48514659,0.137660647,0.241816626,-1.200655277,0.025451343,0.018992039
