기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
CNT85,2018,66721233518,38684510265,28036723253,11242914501,-5711958730,-23565040584,42.02069083,1.05972298,-0.360279079,0.086727201,-0.353186525,-0.779810676
CNT85,2018,76472654705,45262632300,31210022405,15491233649,-5210713631,-20677632347,40.81200336,-0.096195096,0.274240209,-0.13963921,-0.270392501,-0.69801749
CNT85,2019,28192798312,31327605622,-3134807310,7220574941,-3504601855,-31395315498,-11.11917758,-0.486820428,-1.145429384,0.341378418,-1.113593449,-2.23651469
CNT85,2020,59865225652,37280123844,22585101808,896922665,-4763804179,-7131802782,37.72657927,0.264327054,-7.050387422,-3.402156994,-0.119130976,-0.733336226
CNT85,2021,66140453458,45283119258,20857334200,38634051420,-230558533,-2404846001,31.53491261,-19.66201635,0.976784142,-1.965596458,-0.036359684,-0.110714141
CS,2017,50170234705,31269249400,18900985305,43330916249,1863533813,1000562988,37.67370318,1.123721143,0.108395235,3.403492863,0.019943359,0.050332258
CS,2018,32509181753,9956095520,22553086233,58746314097,2284327536,4097741008,69.37451211,0.184209014,0.262406214,0.755825713,0.126048728,0.197700291
CS,2019,27188933425,5429053882,21759879543,32157823692,-917978018,-538357258,80.03211896,3.488433809,-0.826812494,8.611564527,-0.019800602,-0.024297957
CS,2020,28341912333,6296626254,22045286079,42958085137,364597144,178546528,77.78334016,3.517787188,0.25141394,4.015221097,0.006299735,0.008151848
CS,2021,34448403950,13114939968,21333463982,41091897059,228076588,-2383876876,61.92874425,-0.5985733,-0.04541499,1.074897546,-0.069201374,-0.109909892
CSA 코스믹,2017,30762561238,7094365707,23668195531,31466024287,-9528209371,-9579262739,76.93831261,1.023936983,-0.305913219,0.751141926,-0.311393537,-0.425729311
CSA 코스믹,2018,37467063333,13843458107,23623605226,63526514658,20216304,-464796447,63.05165958,472.3131229,0.504678882,-19.60958684,-0.012405468,-0.019656534
