기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
원익피앤이,2019,1.36E+11,41954827051,1.77E+11,95277086252,2271325047,97548411299,7140000000,57755292753,79937551191,1.47E+11,17764701391,15921508546
원익피앤이,2018,1.18E+11,35356449856,1.53E+11,76314173510,10832884308,87147057818,7140000000,44381817140,66134401042,1.03E+11,11750087928,11062347308
원익홀딩스,2017,1.94E+11,8.67E+11,1.06E+12,2.00E+11,45556142839,2.46E+11,38618990500,2.48E+11,8.16E+11,4.82E+11,76308250767,80652243627
원익홀딩스,2020,3.92E+11,1.22E+12,1.61E+12,3.56E+11,1.37E+11,4.93E+11,38618990500,4.31E+11,1.11E+12,6.46E+11,86703656424,96912997365
원익홀딩스,2019,1.90E+11,1.04E+12,1.23E+12,2.20E+11,66340479022,2.87E+11,38618990500,3.53E+11,9.39E+11,4.51E+11,61648854076,48981665695
원익홀딩스,2018,1.76E+11,1.03E+12,1.21E+12,1.35E+11,1.76E+11,3.11E+11,38618990500,3.20E+11,8.98E+11,5.00E+11,78477065517,96369617518
원일특강,2017,1.31E+11,65473125956,1.97E+11,64298145442,29202475358,93500620800,2200000000,1.01E+11,1.03E+11,2.34E+11,9230669372,7194315596
원일특강,2020,1.50E+11,80863551020,2.31E+11,89370233247,22996690582,1.12E+11,2200000000,1.16E+11,1.19E+11,2.45E+11,2291400814,1450415800
원일특강,2019,1.36E+11,88081940897,2.24E+11,81437790018,24574009200,1.06E+11,2200000000,1.15E+11,1.18E+11,2.56E+11,9202374700,9937904137
원일특강,2018,1.26E+11,77184312629,2.03E+11,69289688797,24818655087,94108343884,2200000000,1.06E+11,1.09E+11,2.56E+11,9517652022,6714904913
원준,2018,,,,,,,,,,,,
원티드랩,2018,,,,,,,,,,,,
원풍,2017,37253590012,48100408380,85353998392,6935198769,2823983303,9759182072,6000000000,53702302835,75594816320,71268328024,3025219252,2228070772
원풍,2020,44379301511,40223655918,84602957429,7162708419,2833743156,9996451575,6000000000,55842817764,74606505854,73605433290,5128117906,3624875376
원풍,2019,39444700489,43613338538,83058039027,6394048197,3174366183,9568414380,6000000000,53929351819,73489624647,72852528639,2725118697,1859744983
원풍,2018,38705484854,45369444603,84074929457,6528113968,2935386638,9463500606,6000000000,53698054259,74611428851,68294682419,1077405633,2020160427
원풍물산,2017,23071779089,23928448259,47000227348,14249786213,2543056672,16792842885,19195890500,-11126047041,30207384463,44115322681,383907545,82904558
원풍물산,2020,19136049823,33147681701,52283731524,15436760579,3293400180,18730160759,20346839500,-25570516297,33553570765,29083209692,-6606012016,-8130669120
원풍물산,2019,29572127045,37742335036,67314462081,17020997377,3516359856,20537357233,20346841000,-17439847177,46777104848,40753664936,-1336652090,-2734243653
원풍물산,2018,27368488412,19202445995,46570934407,19845545646,2307973145,22153518791,19195890500,-14705603524,24417415616,42670878853,-441680387,-3579556483
웨이브일렉트로,2017,21136756250,67104883350,88241639600,33735859113,10166964237,43902823350,5327250000,-10334793539,44338816250,55318246360,2115128340,1023460386
웨이브일렉트로,2020,28976484203,30727321899,59703806102,38123664419,5666635499,43790299918,7353807000,-83091128905,15913506184,39794303038,-13032286942,-25336310603
웨이브일렉트로,2019,29659731271,43556418272,73216149543,51680584274,10087085796,61767670070,5503807000,-58757457658,11448479473,37284783306,-24482037723,-39360824882
웨이브일렉트로,2018,29373527905,63515736291,92889264196,37493915962,11981131531,49475047493,5399434000,-20336996840,43414216703,48067632917,-8508026819,-9429087179
웰크론,2017,1.79E+11,1.43E+11,3.22E+11,1.40E+11,55215247629,1.95E+11,12745248500,-10102820118,1.26E+11,3.79E+11,3873019151,-6412944394
웰크론,2020,1.60E+11,1.05E+11,2.65E+11,1.29E+11,17063833063,1.46E+11,14115651000,6437206045,1.18E+11,3.30E+11,19810673332,9890565242
웰크론,2019,1.78E+11,95525344877,2.74E+11,1.51E+11,14419913609,1.65E+11,13995252000,-5156775854,1.09E+11,3.77E+11,3213655543,-23906880563
웰크론,2018,2.18E+11,1.28E+11,3.46E+11,1.91E+11,14779344791,2.06E+11,12861798500,-380623312,1.40E+11,3.75E+11,9949304774,6473840465
웰크론한텍,2017,1.24E+11,87635181384,2.12E+11,76941455382,39763673804,1.17E+11,9681286500,26671424882,95033711010,2.52E+11,623399246,-4990157422
웰크론한텍,2020,1.05E+11,38827976173,1.44E+11,78274405560,2398507851,80672913411,9990051000,27035946306,63212405735,2.01E+11,3696205714,-62057883
웰크론한텍,2019,1.25E+11,29345706504,1.54E+11,87499631816,2101081392,89600713208,9990051000,27027781277,64311377459,2.71E+11,-5771705734,-20692317343
웰크론한텍,2018,1.63E+11,62398891434,2.25E+11,1.23E+11,2021163014,1.25E+11,9681286500,28170692532,1.00E+11,2.64E+11,3443400578,242836758
웹스,2017,25652846506,40373168337,66026014843,23512602125,3561722127,27074324252,3424619000,19585177195,38951690591,30683428618,658290113,-776436745
웹스,2020,30902172993,35980238233,66882411226,28015838796,2135220629,30151059425,6849238000,18500102965,36731351801,32564421283,-16147367,-834112000
웹스,2019,29463001719,39139444891,68602446610,24757263714,4987718394,29744982108,6849238000,19334214965,38857464502,28492652061,380343578,-225862988
웹스,2018,26879361054,40170763837,67050124891,25779107628,2250884165,28029991793,6849238000,19560077953,39020133098,28446123874,342987589,-25099242
웹젠,2017,2.25E+11,98928173981,3.23E+11,40445790484,13578624166,54024414650,17655442000,1.45E+11,2.69E+11,1.66E+11,44008354778,29962484827
웹젠,2020,3.33E+11,2.09E+11,5.43E+11,92401342966,15610647728,1.08E+11,17655442000,3.23E+11,4.35E+11,2.94E+11,1.08E+11,86256603661
웹젠,2019,2.38E+11,1.76E+11,4.14E+11,42305303330,16042496497,58347799827,17655442000,2.37E+11,3.56E+11,1.76E+11,51786348657,42171395759
